,Imagem,FEX-esperada,FEX-detectada
0,1008,angry,angry
1,1020,angry,angry
2,1064,angry,disgust
3,1094,angry,neutral
4,1113,angry,neutral
5,1117,angry,angry
6,1133,angry,angry
7,120,angry,angry
8,1222,angry,neutral
9,1231,angry,neutral
10,1233,angry,angry
11,1236,angry,angry
12,1238,angry,sad
13,1302,angry,angry
14,1319,angry,neutral
15,1328,angry,neutral
16,1329,angry,angry
17,1333,angry,angry
18,1344,angry,angry
19,1345,angry,neutral
20,1357,angry,angry
21,1366,angry,disgust
22,1367,angry,neutral
23,137,angry,sad
24,138,angry,angry
25,1404,angry,angry
26,1410,angry,happy
27,1420,angry,fear
28,1434,angry,angry
29,1435,angry,sad
30,1440,angry,angry
31,1455,angry,angry
32,1476,angry,surprise
33,1481,angry,neutral
34,1485,angry,sad
35,1492,angry,angry
36,1539,angry,neutral
37,1566,angry,angry
38,15,angry,neutral
39,1627,angry,angry
40,1639,angry,angry
41,1656,angry,disgust
42,1666,angry,neutral
43,1698,angry,angry
44,1742,angry,angry
45,1756,angry,neutral
46,1757,angry,angry
47,1758,angry,angry
48,176,angry,disgust
49,1782,angry,neutral
50,1783,angry,surprise
51,1800,angry,surprise
52,1802,angry,angry
53,1814,angry,angry
54,1816,angry,neutral
55,1860,angry,angry
56,1880,angry,angry
57,1900,angry,sad
58,1917,angry,angry
59,1932,angry,angry
60,1934,angry,angry
61,1961,angry,disgust
62,199,angry,neutral
63,2001,angry,neutral
64,2014,angry,neutral
65,2031,angry,angry
66,2034,angry,angry
67,2047,angry,disgust
68,2058,angry,angry
69,2077,angry,angry
70,207,angry,angry
71,2090,angry,fear
72,2093,angry,fear
73,2149,angry,angry
74,2158,angry,surprise
75,2175,angry,angry
76,2183,angry,surprise
77,2202,angry,angry
78,2214,angry,angry
79,2228,angry,angry
80,2245,angry,angry
81,2246,angry,angry
82,2286,angry,disgust
83,2305,angry,disgust
84,230,angry,angry
85,2310,angry,angry
86,231,angry,angry
87,2334,angry,sad
88,2335,angry,neutral
89,2336,angry,neutral
90,2338,angry,sad
91,2339,angry,fear
92,2342,angry,neutral
93,2358,angry,surprise
94,2359,angry,angry
95,2382,angry,neutral
96,2386,angry,neutral
97,2389,angry,disgust
98,2402,angry,surprise
99,2421,angry,disgust
100,2429,angry,disgust
101,242,angry,angry
102,2435,angry,happy
103,2442,angry,disgust
104,2451,angry,angry
105,2499,angry,angry
106,2516,angry,surprise
107,2533,angry,neutral
108,2537,angry,neutral
109,2540,angry,disgust
110,2549,angry,angry
111,2555,angry,angry
112,2560,angry,surprise
113,2570,angry,angry
114,2585,angry,angry
115,2592,angry,angry
116,2593,angry,disgust
117,2600,angry,angry
118,2608,angry,angry
119,2610,angry,sad
120,2612,angry,angry
121,2617,angry,angry
122,2620,angry,angry
123,2624,angry,angry
124,2631,angry,disgust
125,2639,angry,neutral
126,2670,angry,fear
127,2679,angry,angry
128,2707,angry,surprise
129,270,angry,disgust
130,2731,angry,angry
131,2737,angry,angry
132,273,angry,neutral
133,2750,angry,angry
134,2762,angry,angry
135,2777,angry,disgust
136,2785,angry,disgust
137,2792,angry,angry
138,2797,angry,neutral
139,2823,angry,neutral
140,2825,angry,neutral
141,2861,angry,surprise
142,2884,angry,angry
143,2888,angry,angry
144,2889,angry,neutral
145,2892,angry,sad
146,2893,angry,angry
147,2915,angry,sad
148,2916,angry,sad
149,2966,angry,sad
150,2976,angry,disgust
151,2999,angry,angry
152,3002,angry,surprise
153,3024,angry,neutral
154,3035,angry,neutral
155,3040,angry,disgust
156,3059,angry,sad
157,3064,angry,angry
158,3092,angry,angry
159,3096,angry,sad
160,3107,angry,angry
161,3111,angry,happy
162,3122,angry,angry
163,3138,angry,angry
164,3152,angry,angry
165,3177,angry,angry
166,317,angry,angry
167,3186,angry,neutral
168,3191,angry,angry
169,3192,angry,surprise
170,3194,angry,angry
171,3198,angry,angry
172,3213,angry,angry
173,3229,angry,angry
174,3245,angry,disgust
175,3246,angry,angry
176,3260,angry,sad
177,3269,angry,angry
178,3296,angry,sad
179,3305,angry,angry
180,3307,angry,angry
181,3318,angry,angry
182,3324,angry,surprise
183,332,angry,surprise
184,3330,angry,angry
185,3339,angry,angry
186,3349,angry,disgust
187,3353,angry,angry
188,3359,angry,sad
189,336,angry,angry
190,3384,angry,disgust
191,3395,angry,surprise
192,3401,angry,neutral
193,3405,angry,angry
194,3406,angry,disgust
195,3417,angry,angry
196,3421,angry,angry
197,3424,angry,angry
198,3426,angry,neutral
199,3429,angry,angry
200,3433,angry,angry
201,3451,angry,disgust
202,3465,angry,neutral
203,3479,angry,neutral
204,3487,angry,angry
205,3496,angry,neutral
206,3499,angry,disgust
207,3522,angry,angry
208,3523,angry,neutral
209,3531,angry,angry
210,3537,angry,fear
211,3562,angry,angry
212,3591,angry,sad
213,3607,angry,sad
214,3618,angry,neutral
215,3629,angry,angry
216,3633,angry,neutral
217,3635,angry,angry
218,3646,angry,angry
219,3648,angry,angry
220,3657,angry,angry
221,367,angry,angry
222,3738,angry,angry
223,3753,angry,angry
224,3757,angry,angry
225,3765,angry,angry
226,3792,angry,angry
227,3805,angry,angry
228,380,angry,disgust
229,3813,angry,angry
230,3818,angry,sad
231,3825,angry,angry
232,3833,angry,neutral
233,3847,angry,happy
234,3858,angry,neutral
235,386,angry,disgust
236,3880,angry,neutral
237,3882,angry,angry
238,3885,angry,angry
239,3904,angry,happy
240,3913,angry,happy
241,3926,angry,disgust
242,3930,angry,angry
243,3934,angry,angry
244,3953,angry,surprise
245,3955,angry,neutral
246,3986,angry,neutral
247,4007,angry,angry
248,4014,angry,disgust
249,4028,angry,angry
250,4029,angry,angry
251,4033,angry,neutral
252,4058,angry,angry
253,4067,angry,disgust
254,4072,angry,angry
255,4081,angry,neutral
256,4099,angry,angry
257,4115,angry,angry
258,4122,angry,angry
259,4127,angry,disgust
260,412,angry,angry
261,4142,angry,angry
262,415,angry,neutral
263,4164,angry,angry
264,4180,angry,fear
265,4209,angry,disgust
266,4211,angry,angry
267,4214,angry,angry
268,4218,angry,neutral
269,4229,angry,neutral
270,423,angry,fear
271,4264,angry,angry
272,4270,angry,angry
273,4285,angry,angry
274,4291,angry,happy
275,4297,angry,angry
276,4302,angry,neutral
277,4380,angry,happy
