,Imagem,FEX-esperada,FEX-detectada
0,angry_actor_226.jpg,sad,surprise
1,angry_actor_491.jpg,surprise,angry
2,angry_actor_666.jpg,neutral,disgust
3,angry_actor_797.jpg,neutral,neutral
4,angry_African_175.jpg,angry,angry
5,angry_African_432.jpg,neutral,surprise
6,angry_american_147.jpg,neutral,angry
7,angry_american_541.jpg,happy,disgust
8,angry_asian_175.jpg,angry,angry
9,angry_asian_67.jpg,sad,angry
10,angry_black_233.jpg,angry,angry
11,angry_black_237.jpg,surprise,surprise
12,angry_black_509.jpg,sad,disgust
13,angry_black_515.jpg,disgust,neutral
14,angry_boy_428.jpg,angry,angry
15,angry_boy_72.jpg,angry,angry
16,angry_chinese_105.jpg,neutral,neutral
17,angry_chinese_248.jpg,angry,angry
18,angry_chinese_25.jpg,sad,angry
19,angry_chinese_49.jpg,angry,angry
20,angry_chinese_58.jpg,angry,angry
21,angry_chinese_84.jpg,angry,angry
22,angry_european_247.jpg,neutral,happy
23,angry_expression_244.jpg,sad,disgust
24,angry_expression_332.jpg,angry,angry
25,angry_expression_384.jpg,angry,angry
26,angry_girl_294.jpg,neutral,angry
27,angry_grandfather_368.jpg,happy,happy
28,angry_husband_183.jpg,angry,angry
29,angry_husband_311.jpg,neutral,sad
30,angry_husband_369.jpg,neutral,angry
31,angry_lady_152.jpg,angry,disgust
32,angry_lady_220.jpg,angry,angry
33,angry_man_16.jpg,neutral,angry
34,angry_man_256.jpg,angry,angry
35,angry_man_327.jpg,angry,angry
36,angry_man_52.jpg,angry,angry
37,angry_man_97.jpg,sad,angry
38,angry_manager_15.jpg,neutral,disgust
39,angry_manager_305.jpg,neutral,neutral
40,angry_manager_500.jpg,neutral,disgust
41,angry_mother_321.jpg,neutral,sad
42,angry_mother_81.jpg,angry,angry
43,angry_people_265.jpg,neutral,neutral
44,angry_people_49.jpg,happy,angry
45,angry_programmer_318.jpg,sad,angry
46,angry_programmer_36.jpg,neutral,neutral
47,angry_soldier_208.jpg,angry,angry
48,angry_student_453.jpg,neutral,angry
49,angry_teacher_102.jpg,disgust,angry
50,angry_teacher_255.jpg,neutral,neutral
51,angry_wife_366.jpg,neutral,surprise
52,angry_woman_102.jpg,sad,angry
53,angry_woman_118.jpg,sad,fear
54,angry_woman_123.jpg,neutral,angry
55,angry_woman_187.jpg,disgust,disgust
56,angry_woman_199.jpg,angry,angry
57,angry_woman_446.jpg,angry,angry
58,angry_woman_96.jpg,angry,disgust
59,angry_worker_1.jpg,angry,angry
60,angry_worker_148.jpg,neutral,neutral
61,angry_worker_156.jpg,angry,disgust
62,annoyed_actor_123.jpg,neutral,angry
63,annoyed_actor_195.jpg,neutral,angry
64,annoyed_actor_278.jpg,neutral,angry
65,annoyed_actor_680.jpg,neutral,happy
66,annoyed_actor_682.jpg,neutral,angry
67,annoyed_american_305.jpg,neutral,sad
68,annoyed_boss_226.jpg,neutral,angry
69,annoyed_boss_368.jpg,neutral,disgust
70,annoyed_boss_734.jpg,neutral,neutral
71,annoyed_boss_96.jpg,neutral,disgust
72,annoyed_chinese_453.jpg,surprise,disgust
73,annoyed_chinese_68.jpg,surprise,disgust
74,annoyed_european_311.jpg,surprise,angry
75,annoyed_expression_88.jpg,angry,angry
76,annoyed_family_700.jpg,sad,angry
77,annoyed_family_87.jpg,happy,happy
78,annoyed_family_935.jpg,surprise,neutral
79,annoyed_girl_219.jpg,angry,angry
80,annoyed_grandmother_437.jpg,angry,fear
81,annoyed_grandmother_902.jpg,sad,angry
82,annoyed_lady_33.jpg,angry,angry
83,annoyed_lady_332.jpg,angry,angry
84,awe_student_519.jpg,angry,angry
85,ecstatic_man_42.jpg,surprise,surprise
86,awe_wife_554.jpg,disgust,disgust
87,annoyed_president_195.jpg,angry,disgust
88,annoyed_president_216.jpg,neutral,neutral
89,annoyed_president_481.jpg,neutral,surprise
90,annoyed_programmer_63.jpg,neutral,angry
91,annoyed_son_205.jpg,angry,disgust
92,annoyed_son_249.jpg,happy,sad
93,annoyed_son_616.jpg,neutral,angry
94,annoyed_teacher_491.jpg,happy,disgust
95,annoyed_wife_280.jpg,neutral,disgust
96,annoyed_woman_119.jpg,sad,disgust
97,annoyed_woman_146.jpg,surprise,angry
98,annoyed_woman_235.jpg,sad,angry
99,annoyed_woman_336.jpg,surprise,surprise
100,annoyed_woman_47.jpg,surprise,angry
101,annoyed_worker_613.jpg,neutral,angry
102,annoyed_yang_758.jpg,neutral,happy
103,fierce_actor_300.jpg,neutral,angry
104,fierce_actor_779.jpg,neutral,angry
105,fierce_African_216.jpg,surprise,angry
106,fierce_African_381.jpg,happy,disgust
107,fierce_boy_130.jpg,happy,neutral
108,fierce_boy_415.jpg,angry,disgust
109,fierce_chinese_488.jpg,neutral,surprise
110,fierce_european_985.jpg,disgust,disgust
111,fierce_grandmother_423.jpg,neutral,disgust
112,fierce_lady_568.jpg,neutral,neutral
113,fierce_man_54.jpg,neutral,angry
114,fierce_manager_262.jpg,happy,disgust
115,fierce_manager_435.jpg,surprise,surprise
116,fierce_mother_424.jpg,happy,happy
117,fierce_people_315.jpg,happy,happy
118,fierce_president_318.jpg,surprise,happy
119,fierce_teacher_112.jpg,sad,angry
120,fierce_teacher_87.jpg,sad,angry
121,fierce_wife_15.jpg,happy,neutral
122,fierce_wife_74.jpg,happy,happy
123,fierce_woman_777.jpg,neutral,neutral
124,fierce_yang_620.jpg,disgust,angry
125,fierce_yang_944.jpg,neutral,neutral
126,fierce_yang_971.jpg,neutral,disgust
127,fighting_actor_396.jpg,sad,angry
128,fighting_actor_400.jpg,neutral,neutral
129,fighting_actor_475.jpg,neutral,neutral
130,fighting_asian_102.jpg,neutral,neutral
131,fighting_asian_729.jpg,neutral,angry
132,fighting_boy_103.jpg,surprise,sad
133,fighting_european_461.jpg,neutral,angry
134,fighting_family_166.jpg,neutral,neutral
135,fighting_father_726.jpg,neutral,neutral
136,fighting_grandmother_161.jpg,happy,happy
137,fighting_husband_130.jpg,neutral,surprise
138,fighting_man_88.jpg,neutral,neutral
139,fighting_manager_236.jpg,surprise,fear
140,fighting_manager_567.jpg,neutral,happy
