,Imagem,FEX-esperada,FEX-detectada
0,S005_001_00000011.png_1,disgust,disgust
1,S010_002_00000014.png_1,surprise,surprise
2,S010_004_00000019.png_1,angry,angry
3,S010_006_00000015.png_1,happy,happy
4,S011_001_00000016.png_1,surprise,surprise
5,S011_002_00000022.png_1,sad,sad
6,S011_003_00000014.png_1,fear,sad
7,S011_004_00000021.png_1,angry,angry
8,S011_005_00000020.png_1,disgust,disgust
9,S011_006_00000013.png_1,happy,happy
10,S014_001_00000029.png_1,surprise,surprise
11,S014_002_00000016.png_1,sad,sad
12,S014_003_00000030.png_1,angry,angry
13,S014_005_00000017.png_1,happy,happy
14,S022_001_00000030.png_1,surprise,surprise
15,S022_005_00000032.png_1,angry,angry
16,S022_006_00000017.png_1,disgust,disgust
17,S026_001_00000015.png_1,surprise,surprise
18,S026_002_00000016.png_1,sad,sad
19,S026_003_00000015.png_1,angry,angry
20,S026_006_00000013.png_1,happy,happy
21,S028_001_00000024.png_1,angry,angry
22,S029_001_00000019.png_1,angry,angry
23,S032_001_00000022.png_1,surprise,surprise
24,S032_003_00000017.png_1,angry,angry
25,S032_004_00000014.png_1,fear,angry
26,S032_005_00000016.png_1,disgust,disgust
27,S032_006_00000016.png_1_2,happy,happy
28,S034_001_00000029.png_1,surprise,surprise
29,S034_003_00000027.png_1,angry,angry
30,S034_005_00000010.png_1,happy,happy
31,S035_001_00000015.png_1,surprise,fear
32,S035_005_00000019.png_1,disgust,disgust
33,S035_006_00000018.png_1,happy,happy
34,S037_001_00000020.png_1,surprise,surprise
35,S037_003_00000022.png_1,angry,angry
36,S037_006_00000021.png_1,happy,happy
37,S042_001_00000019.png_1,surprise,angry
38,S042_002_00000016.png_1,sad,angry
39,S042_004_00000020.png_1,angry,angry
40,S042_006_00000017.png_1,happy,angry
41,S044_001_00000024.png_1,surprise,surprise
42,S044_003_00000014.png_1,happy,happy
43,S044_006_00000019.png_1,disgust,disgust
44,S045_004_00000015.png_1,disgust,disgust
45,S045_005_00000030.png_1,angry,angry
46,S046_001_00000025.png_1,sad,neutral
47,S046_002_00000006.png_1,surprise,surprise
48,S046_003_00000016.png_1,fear,sad
49,S046_004_00000017.png_1,disgust,disgust
50,S050_001_00000017.png_1,fear,surprise
51,S050_002_00000018.png_1,surprise,surprise
52,S050_004_00000021.png_1,angry,angry
53,S050_006_00000023.png_1,happy,happy
54,S051_002_00000019.png_1,surprise,surprise
55,S051_003_00000018.png_1,disgust,angry
56,S052_001_00000015.png_1,surprise,surprise
57,S052_004_00000033.png_1,happy,happy
58,S052_006_00000013.png_1,disgust,disgust
59,S053_001_00000023.png_1_2,surprise,fear
60,S053_004_00000024.png_1,happy,happy
61,S054_002_00000015.png_1,fear,fear
62,S054_003_00000007.png_1,surprise,surprise
63,S054_004_00000024.png_1,disgust,angry
64,S055_001_00000012.png_1,surprise,surprise
65,S055_003_00000009.png_1,disgust,disgust
66,S055_004_00000028.png_1,angry,angry
67,S055_005_00000045.png_1,happy,happy
68,S055_006_00000008.png_1,fear,fear
69,S056_002_00000010.png_1,disgust,disgust
70,S056_003_00000010.png_1,surprise,surprise
71,S056_004_00000020.png_1,happy,surprise
72,S057_001_00000019.png_1,surprise,surprise
73,S057_003_00000015.png_1,disgust,disgust
74,S057_006_00000033.png_1,happy,happy
75,S058_001_00000020.png_1,surprise,surprise
76,S058_005_00000010.png_1,angry,angry
77,S058_006_00000018.png_1,disgust,disgust
78,S059_001_00000018.png_1,surprise,fear
79,S059_002_00000017.png_1,fear,fear
80,S060_002_00000026.png_1,happy,happy
