,Imagem,FEX-esperada,FEX-detectada
0,1008,angry,angry
1,1020,angry,angry
2,1049,angry,sad
3,1064,angry,disgust
4,1094,angry,neutral
5,1097,angry,angry
6,1112,angry,angry
7,1113,angry,neutral
8,1117,angry,angry
9,1118,angry,angry
10,1128,angry,angry
11,1133,angry,angry
12,1135,angry,fear
13,120,angry,angry
14,1222,angry,angry
15,1231,angry,neutral
16,1233,angry,angry
17,1236,angry,angry
18,1238,angry,sad
19,1302,angry,disgust
20,1319,angry,neutral
21,1328,angry,angry
22,1329,angry,neutral
23,1333,angry,angry
24,1344,angry,angry
25,1345,angry,angry
26,1357,angry,angry
27,1364,angry,angry
28,1366,angry,angry
29,1367,angry,neutral
30,137,angry,angry
31,138,angry,angry
32,1404,angry,angry
33,1410,angry,surprise
34,1420,angry,fear
35,1434,angry,angry
36,1435,angry,neutral
37,1440,angry,angry
38,1455,angry,angry
39,1476,angry,surprise
40,1481,angry,neutral
41,1485,angry,angry
42,1492,angry,fear
43,1539,angry,angry
44,1566,angry,angry
45,1567,angry,neutral
46,1589,angry,sad
47,15,angry,angry
48,1627,angry,angry
49,1628,angry,angry
50,1639,angry,angry
51,1656,angry,disgust
52,1666,angry,surprise
53,1698,angry,angry
54,1735,angry,angry
55,1742,angry,angry
56,1756,angry,angry
57,1757,angry,angry
58,1758,angry,angry
59,176,angry,angry
60,1771,angry,sad
61,1782,angry,neutral
62,1783,angry,disgust
63,1800,angry,surprise
64,1802,angry,angry
65,1814,angry,angry
66,1816,angry,neutral
67,1860,angry,angry
68,1863,angry,neutral
69,1880,angry,disgust
70,1900,angry,angry
71,1917,angry,angry
72,1921,angry,disgust
73,1927,angry,angry
74,1932,angry,angry
75,1934,angry,angry
76,1961,angry,angry
77,199,angry,neutral
78,2001,angry,angry
79,2014,angry,angry
80,2031,angry,angry
81,2034,angry,angry
82,2047,angry,sad
83,2058,angry,angry
84,2077,angry,angry
85,207,angry,angry
86,2088,angry,angry
87,2090,angry,fear
88,2093,angry,angry
89,2102,angry,angry
90,2139,angry,angry
91,2149,angry,angry
92,2158,angry,angry
93,2175,angry,angry
94,2183,angry,neutral
95,2202,angry,angry
96,2214,angry,angry
97,2228,angry,neutral
98,2245,angry,disgust
99,2246,angry,angry
100,2260,angry,disgust
101,2286,angry,disgust
102,2305,angry,disgust
103,2308,angry,angry
104,230,angry,angry
105,2310,angry,angry
106,231,angry,angry
107,2334,angry,sad
108,2335,angry,neutral
109,2336,angry,neutral
110,2338,angry,sad
111,2339,angry,angry
112,2342,angry,angry
113,2358,angry,neutral
114,2359,angry,neutral
115,2360,angry,angry
116,2367,angry,fear
117,2382,angry,neutral
118,2386,angry,angry
119,2389,angry,angry
120,2402,angry,surprise
121,2408,angry,angry
122,2421,angry,angry
123,2429,angry,angry
124,242,angry,angry
125,2435,angry,angry
126,2438,angry,neutral
127,243,angry,angry
128,2442,angry,disgust
129,2451,angry,angry
130,2495,angry,angry
131,2499,angry,angry
132,2509,angry,angry
133,2516,angry,angry
134,2533,angry,neutral
135,2537,angry,angry
136,2540,angry,angry
137,2549,angry,angry
138,2555,angry,angry
139,2560,angry,sad
140,2570,angry,angry
141,2585,angry,angry
142,2591,angry,angry
143,2592,angry,disgust
144,2593,angry,angry
145,2600,angry,angry
146,2605,angry,surprise
147,2608,angry,disgust
148,2610,angry,angry
149,2612,angry,angry
150,2617,angry,angry
151,2618,angry,angry
152,2620,angry,angry
153,2624,angry,angry
154,2631,angry,angry
155,2639,angry,angry
156,2670,angry,fear
157,2679,angry,neutral
158,2707,angry,sad
159,270,angry,neutral
160,2731,angry,angry
161,2737,angry,angry
162,273,angry,angry
163,2750,angry,angry
164,2759,angry,angry
165,2762,angry,angry
166,2768,angry,angry
167,2777,angry,disgust
168,2785,angry,angry
169,278,angry,sad
170,2792,angry,neutral
171,2797,angry,neutral
172,281,angry,angry
173,2823,angry,angry
174,2825,angry,neutral
175,2830,angry,angry
176,2861,angry,fear
177,2884,angry,angry
178,2888,angry,sad
179,2889,angry,angry
180,2892,angry,neutral
181,2893,angry,disgust
182,2894,angry,angry
183,2915,angry,sad
184,2916,angry,angry
185,2966,angry,surprise
186,2976,angry,angry
187,2999,angry,neutral
188,3002,angry,surprise
189,3022,angry,angry
190,3024,angry,neutral
191,3035,angry,angry
192,3040,angry,neutral
193,3044,angry,sad
194,304,angry,angry
195,3059,angry,sad
196,3064,angry,angry
197,3091,angry,angry
198,3092,angry,angry
199,3093,angry,angry
200,3096,angry,sad
201,3107,angry,angry
202,3111,angry,happy
203,3122,angry,angry
204,3138,angry,angry
205,3152,angry,angry
206,3162,angry,angry
207,3177,angry,angry
208,317,angry,angry
209,3186,angry,angry
210,3191,angry,angry
211,3192,angry,neutral
212,3194,angry,angry
213,3198,angry,angry
214,3213,angry,angry
215,3215,angry,neutral
216,3229,angry,angry
217,3245,angry,disgust
218,3246,angry,angry
219,3260,angry,sad
220,3269,angry,angry
221,3279,angry,neutral
222,3296,angry,sad
223,3305,angry,angry
224,3307,angry,angry
225,3318,angry,angry
226,3324,angry,surprise
227,332,angry,surprise
228,3330,angry,angry
229,3339,angry,neutral
230,3349,angry,happy
231,3353,angry,angry
232,3359,angry,angry
233,336,angry,angry
234,3381,angry,sad
235,3384,angry,disgust
236,3395,angry,angry
237,3401,angry,neutral
238,3405,angry,angry
239,3406,angry,angry
240,3416,angry,sad
241,3417,angry,angry
242,3421,angry,angry
243,3424,angry,angry
244,3426,angry,neutral
245,3429,angry,angry
246,3433,angry,angry
247,3451,angry,disgust
248,3461,angry,angry
249,3465,angry,surprise
250,3471,angry,angry
251,3479,angry,angry
252,3487,angry,angry
253,3496,angry,surprise
254,3499,angry,neutral
255,3504,angry,sad
256,3507,angry,disgust
257,3522,angry,angry
258,3523,angry,neutral
259,3530,angry,angry
260,3531,angry,angry
261,3533,angry,disgust
262,3537,angry,fear
263,3547,angry,surprise
264,3558,angry,angry
265,3562,angry,angry
266,356,angry,neutral
267,3591,angry,sad
268,3607,angry,sad
269,3618,angry,neutral
270,3629,angry,angry
271,3633,angry,sad
272,3634,angry,neutral
273,3635,angry,angry
274,3646,angry,angry
275,3648,angry,angry
276,3657,angry,angry
277,367,angry,angry
278,3709,angry,angry
279,3732,angry,angry
