,Imagem,FEX-esperada,FEX-detectada
0,KA_AN1_39_tiff,angry,disgust
1,KA_AN2_40_tiff,angry,sad
2,KA_AN3_41_tiff,angry,sad
3,KL_AN1_167_tiff,angry,sad
4,KL_AN2_168_tiff,angry,sad
5,KL_AN3_169_tiff,angry,sad
6,KM_AN1_17_tiff,angry,sad
7,KM_AN2_18_tiff,angry,neutral
8,KM_AN3_19_tiff,angry,neutral
9,KR_AN1_83_tiff,angry,neutral
10,KR_AN2_84_tiff,angry,neutral
11,KR_AN3_85_tiff,angry,neutral
12,KR_DI1_86_tiff,angry,neutral
13,KR_DI2_87_tiff,angry,neutral
14,KR_DI3_88_tiff,angry,neutral
15,MK_AN1_125_tiff,angry,happy
16,MK_AN2_126_tiff,angry,neutral
17,MK_AN3_127_tiff,angry,neutral
18,NA_AN1_211_tiff,angry,angry
19,NA_AN2_212_tiff,angry,neutral
20,NA_AN3_213_tiff,angry,neutral
21,NA_DI1_214_tiff,angry,sad
22,NA_DI2_215_tiff,angry,neutral
23,NA_DI3_216_tiff,angry,angry
24,TM_AN1_190_tiff,angry,sad
25,TM_AN2_191_tiff,angry,sad
26,TM_AN3_192_tiff,angry,sad
27,YM_AN1_61_tiff,angry,sad
28,YM_AN2_62_tiff,angry,angry
29,YM_AN3_63_tiff,angry,angry
30,MK_DI1_128_tiff,disgust,sad
31,MK_DI2_129_tiff,disgust,sad
32,UY_DI2_150_tiff,disgust,sad
33,YM_DI1_64_tiff,disgust,sad
34,YM_DI2_65_tiff,disgust,sad
35,YM_DI3_66_tiff,disgust,sad
36,KA_FE1_45_tiff,fear,fear
37,KA_FE2_46_tiff,fear,sad
38,KA_FE3_47_tiff,fear,fear
39,KA_SA2_34_tiff,fear,sad
40,KL_FE1_174_tiff,fear,sad
41,KL_FE2_175_tiff,fear,sad
42,KL_FE3_176_tiff,fear,sad
43,KM_FE2_24_tiff,fear,sad
44,KM_FE3_25_tiff,fear,fear
45,MK_FE1_131_tiff,fear,fear
46,MK_FE2_132_tiff,fear,fear
47,MK_FE3_133_tiff,fear,sad
48,NA_FE1_217_tiff,fear,surprise
49,NA_FE2_218_tiff,fear,neutral
50,NA_FE3_219_tiff,fear,neutral
51,NM_FE1_110_tiff,fear,surprise
52,NM_FE2_111_tiff,fear,surprise
53,NM_FE3_112_tiff,fear,surprise
54,TM_FE1_196_tiff,fear,sad
55,TM_FE2_197_tiff,fear,sad
56,TM_FE3_198_tiff,fear,sad
57,TM_SU1_187_tiff,fear,fear
58,YM_FE1_67_tiff,fear,fear
59,YM_FE2_68_tiff,fear,fear
60,YM_FE3_69_tiff,fear,fear
61,YM_FE4_70_tiff,fear,fear
62,KA_HA1_29_tiff,happy,surprise
63,KA_HA2_30_tiff,happy,surprise
64,KA_HA3_31_tiff,happy,surprise
65,KA_HA4_32_tiff,happy,surprise
66,KL_HA1_158_tiff,happy,happy
67,KL_HA2_159_tiff,happy,happy
68,KL_HA3_160_tiff,happy,happy
69,KM_HA1_4_tiff,happy,happy
70,KM_HA2_5_tiff,happy,happy
71,KM_HA3_6_tiff,happy,happy
72,KM_HA4_7_tiff,happy,happy
73,KR_HA1_74_tiff,happy,surprise
74,KR_HA2_75_tiff,happy,happy
75,KR_SA3_79_tiff,happy,surprise
76,MK_HA1_116_tiff,happy,happy
77,MK_HA2_117_tiff,happy,happy
78,MK_HA3_118_tiff,happy,happy
79,NA_HA1_202_tiff,happy,happy
80,NA_HA2_203_tiff,happy,happy
81,NA_HA3_204_tiff,happy,happy
82,NA_SU1_208_tiff,happy,surprise
83,NM_HA1_95_tiff,happy,surprise
84,NM_HA2_96_tiff,happy,surprise
85,NM_HA3_97_tiff,happy,surprise
86,TM_HA1_180_tiff,happy,happy
87,TM_HA2_181_tiff,happy,happy
88,TM_HA3_182_tiff,happy,happy
89,UY_HA1_137_tiff,happy,neutral
90,UY_HA2_138_tiff,happy,neutral
91,UY_HA3_139_tiff,happy,sad
92,YM_HA1_52_tiff,happy,happy
93,YM_HA2_53_tiff,happy,happy
94,YM_HA3_54_tiff,happy,happy
95,KA_NE1_26_tiff,neutral,surprise
96,KA_NE2_27_tiff,neutral,surprise
97,KA_NE3_28_tiff,neutral,surprise
98,KL_NE1_155_tiff,neutral,neutral
99,KL_NE2_156_tiff,neutral,neutral
100,KL_NE3_157_tiff,neutral,neutral
101,KM_NE1_1_tiff,neutral,surprise
102,KM_NE2_2_tiff,neutral,surprise
103,KM_NE3_3_tiff,neutral,surprise
104,KR_NE1_71_tiff,neutral,neutral
105,KR_NE2_72_tiff,neutral,neutral
106,KR_NE3_73_tiff,neutral,neutral
107,MK_NE1_113_tiff,neutral,neutral
108,MK_NE2_114_tiff,neutral,neutral
109,MK_NE3_115_tiff,neutral,neutral
110,NA_NE1_199_tiff,neutral,neutral
111,NA_NE2_200_tiff,neutral,surprise
112,NA_NE3_201_tiff,neutral,neutral
113,NM_AN1_104_tiff,neutral,surprise
114,NM_AN2_105_tiff,neutral,neutral
115,NM_DI1_107_tiff,neutral,surprise
116,NM_DI3_109_tiff,neutral,neutral
117,NM_NE1_92_tiff,neutral,surprise
118,NM_NE2_93_tiff,neutral,surprise
119,NM_NE3_94_tiff,neutral,surprise
120,TM_NE1_177_tiff,neutral,surprise
121,TM_NE2_178_tiff,neutral,surprise
122,TM_NE3_179_tiff,neutral,neutral
123,UY_AN1_146_tiff,neutral,sad
124,UY_AN2_147_tiff,neutral,sad
125,UY_AN3_148_tiff,neutral,sad
126,UY_NE1_134_tiff,neutral,neutral
127,UY_NE2_135_tiff,neutral,neutral
128,UY_NE3_136_tiff,neutral,neutral
129,YM_NE1_49_tiff,neutral,neutral
130,YM_NE2_50_tiff,neutral,neutral
131,YM_NE3_51_tiff,neutral,neutral
132,KA_DI1_42_tiff,sad,sad
133,KA_DI2_43_tiff,sad,sad
134,KA_DI3_44_tiff,sad,sad
135,KA_SA1_33_tiff,sad,sad
136,KA_SA3_35_tiff,sad,sad
137,KL_DI1_170_tiff,sad,sad
138,KL_DI2_171_tiff,sad,sad
139,KL_DI3_172_tiff,sad,sad
140,KL_DI4_173_tiff,sad,sad
141,KL_SA1_161_tiff,sad,sad
142,KL_SA2_162_tiff,sad,sad
143,KL_SA3_163_tiff,sad,sad
144,KM_SA1_9_tiff,sad,sad
145,KM_SA2_10_tiff,sad,sad
146,KM_SA3_11_tiff,sad,sad
147,KM_SA5_13_tiff,sad,sad
148,KR_SA1_77_tiff,sad,sad
149,KR_SA2_78_tiff,sad,sad
150,MK_SA1_119_tiff,sad,happy
151,MK_SA2_120_tiff,sad,sad
152,MK_SA3_121_tiff,sad,sad
153,NA_SA1_205_tiff,sad,neutral
154,NA_SA2_206_tiff,sad,neutral
